Sno,City,Product_Type,Product_Id,Product_Name,Description,Demand,Sector,Location,Img1,Img2,Img3,Img4,Vid1,Product_Ack_Id,Preference,Entry_Date_Time,udf1,udf2,udf3
0,DELHI,FLAT,292041,2 BHK FLAT,90 Gaj,40 L,,RAJNAGAR_PART_1,productImages/292041/banner1.png,,,,,RAJNGR_PART_1-292041,0,04:16.3,0,,
0,DELHI,FLAT,559416,3 BHK FLAT,100 gaj,50 L,,RAJNAGAR_PART_2,productImages/292041/banner1.png,,,,,RAJNGR_PART_2-559416,0,37:37.5,0,,
